number,codepoint,utf,shortname
137,U+1F469 U+200D U+2695 U+FE0F,👩‍⚕️,:woman-health-worker:
138,U+1F468 U+200D U+1F393,👨‍🎓,:man-student:
139,U+1F469 U+200D U+1F393,👩‍🎓,:woman-student:
140,U+1F468 U+200D U+1F3EB,👨‍🏫,:man-teacher:
141,U+1F469 U+200D U+1F3EB,👩‍🏫,:woman-teacher:
142,U+1F468 U+200D U+2696 U+FE0F,👨‍⚖️,:man-judge:
143,U+1F469 U+200D U+2696 U+FE0F,👩‍⚖️,:woman-judge:
144,U+1F468 U+200D U+1F33E,👨‍🌾,:man-farmer:
145,U+1F469 U+200D U+1F33E,👩‍🌾,:woman-farmer:
146,U+1F468 U+200D U+1F373,👨‍🍳,:man-cook:
147,U+1F469 U+200D U+1F373,👩‍🍳,:woman-cook:
148,U+1F468 U+200D U+1F527,👨‍🔧,:man-mechanic:
149,U+1F469 U+200D U+1F527,👩‍🔧,:woman-mechanic:
150,U+1F468 U+200D U+1F3ED,👨‍🏭,:man-factory-worker:
151,U+1F469 U+200D U+1F3ED,👩‍🏭,:woman-factory-worker:
152,U+1F468 U+200D U+1F4BC,👨‍💼,:man-office-worker:
153,U+1F469 U+200D U+1F4BC,👩‍💼,:woman-office-worker:
154,U+1F468 U+200D U+1F52C,👨‍🔬,:man-scientist:
155,U+1F469 U+200D U+1F52C,👩‍🔬,:woman-scientist:
156,U+1F468 U+200D U+1F4BB,👨‍💻,:man-technologist:
157,U+1F469 U+200D U+1F4BB,👩‍💻,:woman-technologist:
158,U+1F468 U+200D U+1F3A4,👨‍🎤,:man-singer:
159,U+1F469 U+200D U+1F3A4,👩‍🎤,:woman-singer:
160,U+1F468 U+200D U+1F3A8,👨‍🎨,:man-artist:
161,U+1F469 U+200D U+1F3A8,👩‍🎨,:woman-artist:
162,U+1F468 U+200D U+2708 U+FE0F,👨‍✈️,:man-pilot:
163,U+1F469 U+200D U+2708 U+FE0F,👩‍✈️,:woman-pilot:
164,U+1F468 U+200D U+1F680,👨‍🚀,:man-astronaut:
165,U+1F469 U+200D U+1F680,👩‍🚀,:woman-astronaut:
166,U+1F468 U+200D U+1F692,👨‍🚒,:man-firefighter:
167,U+1F469 U+200D U+1F692,👩‍🚒,:woman-firefighter:
168,U+1F46E,👮,:police-officer:
169,U+1F46E U+200D U+2642 U+FE0F,👮‍♂️,:man-police-officer:
170,U+1F46E U+200D U+2640 U+FE0F,👮‍♀️,:woman-police-officer:
171,U+1F575,🕵,:detective:
172,U+1F575 U+FE0F U+200D U+2642 U+FE0F,🕵️‍♂️,:man-detective:
173,U+1F575 U+FE0F U+200D U+2640 U+FE0F,🕵️‍♀️,:woman-detective:
174,U+1F482,💂,:guard:
175,U+1F482 U+200D U+2642 U+FE0F,💂‍♂️,:man-guard:
176,U+1F482 U+200D U+2640 U+FE0F,💂‍♀️,:woman-guard:
177,U+1F477,👷,:construction-worker:
178,U+1F477 U+200D U+2642 U+FE0F,👷‍♂️,:man-construction-worker:
179,U+1F477 U+200D U+2640 U+FE0F,👷‍♀️,:woman-construction-worker:
180,U+1F934,🤴,:prince:
181,U+1F478,👸,:princess:
182,U+1F473,👳,:person-wearing-turban:
183,U+1F473 U+200D U+2642 U+FE0F,👳‍♂️,:man-wearing-turban:
184,U+1F473 U+200D U+2640 U+FE0F,👳‍♀️,:woman-wearing-turban:
185,U+1F472,👲,:man-with-Chinese-cap:
186,U+1F9D5,🧕,:woman-with-headscarf:
187,U+1F935,🤵,:man-in-tuxedo:
188,U+1F470,👰,:bride-with-veil:
189,U+1F930,🤰,:pregnant-woman:
190,U+1F931,🤱,:breast-feeding:
191,U+1F47C,👼,:baby-angel:
192,U+1F385,🎅,:Santa-Claus:
193,U+1F936,🤶,:Mrs.-Claus:
194,U+1F9B8,🦸,:superhero:
195,U+1F9B8 U+200D U+2640 U+FE0F,🦸‍♀️,:woman-superhero:
196,U+1F9B8 U+200D U+2642 U+FE0F,🦸‍♂️,:man-superhero:
197,U+1F9B9,🦹,:supervillain:
198,U+1F9B9 U+200D U+2640 U+FE0F,🦹‍♀️,:woman-supervillain:
199,U+1F9B9 U+200D U+2642 U+FE0F,🦹‍♂️,:man-supervillain:
200,U+1F9D9,🧙,:mage:
201,U+1F9D9 U+200D U+2640 U+FE0F,🧙‍♀️,:woman-mage:
202,U+1F9D9 U+200D U+2642 U+FE0F,🧙‍♂️,:man-mage:
203,U+1F9DA,🧚,:fairy:
204,U+1F9DA U+200D U+2640 U+FE0F,🧚‍♀️,:woman-fairy:
205,U+1F9DA U+200D U+2642 U+FE0F,🧚‍♂️,:man-fairy:
206,U+1F9DB,🧛,:vampire:
207,U+1F9DB U+200D U+2640 U+FE0F,🧛‍♀️,:woman-vampire:
208,U+1F9DB U+200D U+2642 U+FE0F,🧛‍♂️,:man-vampire:
209,U+1F9DC,🧜,:merperson:
210,U+1F9DC U+200D U+2640 U+FE0F,🧜‍♀️,:mermaid:
211,U+1F9DC U+200D U+2642 U+FE0F,🧜‍♂️,:merman:
212,U+1F9DD,🧝,:elf:
213,U+1F9DD U+200D U+2640 U+FE0F,🧝‍♀️,:woman-elf:
214,U+1F9DD U+200D U+2642 U+FE0F,🧝‍♂️,:man-elf:
215,U+1F9DE,🧞,:genie:
216,U+1F9DE U+200D U+2640 U+FE0F,🧞‍♀️,:woman-genie:
217,U+1F9DE U+200D U+2642 U+FE0F,🧞‍♂️,:man-genie:
218,U+1F9DF,🧟,:zombie:
219,U+1F9DF U+200D U+2640 U+FE0F,🧟‍♀️,:woman-zombie:
220,U+1F9DF U+200D U+2642 U+FE0F,🧟‍♂️,:man-zombie:
221,U+1F64D,🙍,:person-frowning:
222,U+1F64D U+200D U+2642 U+FE0F,🙍‍♂️,:man-frowning:
223,U+1F64D U+200D U+2640 U+FE0F,🙍‍♀️,:woman-frowning:
224,U+1F64E,🙎,:person-pouting:
225,U+1F64E U+200D U+2642 U+FE0F,🙎‍♂️,:man-pouting:
226,U+1F64E U+200D U+2640 U+FE0F,🙎‍♀️,:woman-pouting:
227,U+1F645,🙅,:person-gesturing-NO:
228,U+1F645 U+200D U+2642 U+FE0F,🙅‍♂️,:man-gesturing-NO:
229,U+1F645 U+200D U+2640 U+FE0F,🙅‍♀️,:woman-gesturing-NO:
230,U+1F646,🙆,:person-gesturing-OK:
231,U+1F646 U+200D U+2642 U+FE0F,🙆‍♂️,:man-gesturing-OK:
232,U+1F646 U+200D U+2640 U+FE0F,🙆‍♀️,:woman-gesturing-OK:
233,U+1F481,💁,:person-tipping-hand:
234,U+1F481 U+200D U+2642 U+FE0F,💁‍♂️,:man-tipping-hand:
235,U+1F481 U+200D U+2640 U+FE0F,💁‍♀️,:woman-tipping-hand:
236,U+1F64B,🙋,:person-raising-hand:
237,U+1F64B U+200D U+2642 U+FE0F,🙋‍♂️,:man-raising-hand:
238,U+1F64B U+200D U+2640 U+FE0F,🙋‍♀️,:woman-raising-hand:
239,U+1F647,🙇,:person-bowing:
240,U+1F647 U+200D U+2642 U+FE0F,🙇‍♂️,:man-bowing:
241,U+1F647 U+200D U+2640 U+FE0F,🙇‍♀️,:woman-bowing:
242,U+1F926,🤦,:person-facepalming:
243,U+1F926 U+200D U+2642 U+FE0F,🤦‍♂️,:man-facepalming:
244,U+1F926 U+200D U+2640 U+FE0F,🤦‍♀️,:woman-facepalming:
245,U+1F937,🤷,:person-shrugging:
246,U+1F937 U+200D U+2642 U+FE0F,🤷‍♂️,:man-shrugging:
247,U+1F937 U+200D U+2640 U+FE0F,🤷‍♀️,:woman-shrugging:
248,U+1F486,💆,:person-getting-massage:
249,U+1F486 U+200D U+2642 U+FE0F,💆‍♂️,:man-getting-massage:
250,U+1F486 U+200D U+2640 U+FE0F,💆‍♀️,:woman-getting-massage:
251,U+1F487,💇,:person-getting-haircut:
252,U+1F487 U+200D U+2642 U+FE0F,💇‍♂️,:man-getting-haircut:
253,U+1F487 U+200D U+2640 U+FE0F,💇‍♀️,:woman-getting-haircut:
254,U+1F6B6,🚶,:person-walking:
255,U+1F6B6 U+200D U+2642 U+FE0F,🚶‍♂️,:man-walking:
256,U+1F6B6 U+200D U+2640 U+FE0F,🚶‍♀️,:woman-walking:
257,U+1F3C3,🏃,:person-running:
258,U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,:man-running:
259,U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,:woman-running:
260,U+1F483,💃,:woman-dancing:
261,U+1F57A,🕺,:man-dancing:
262,U+1F46F,👯,:people-with-bunny-ears:
263,U+1F46F U+200D U+2642 U+FE0F,👯‍♂️,:men-with-bunny-ears:
264,U+1F46F U+200D U+2640 U+FE0F,👯‍♀️,:women-with-bunny-ears:
265,U+1F9D6,🧖,:person-in-steamy-room:
266,U+1F9D6 U+200D U+2640 U+FE0F,🧖‍♀️,:woman-in-steamy-room:
267,U+1F9D6 U+200D U+2642 U+FE0F,🧖‍♂️,:man-in-steamy-room:
268,U+1F9D7,🧗,:person-climbing:
269,U+1F9D7 U+200D U+2640 U+FE0F,🧗‍♀️,:woman-climbing:
270,U+1F9D7 U+200D U+2642 U+FE0F,🧗‍♂️,:man-climbing:
271,U+1F9D8,🧘,:person-in-lotus-position:
272,U+1F9D8 U+200D U+2640 U+FE0F,🧘‍♀️,:woman-in-lotus-position:
273,U+1F9D8 U+200D U+2642 U+FE0F,🧘‍♂️,:man-in-lotus-position:
274,U+1F6C0,🛀,:person-taking-bath:
275,U+1F6CC,🛌,:person-in-bed:
276,U+1F574,🕴,:man-in-suit-levitating:
277,U+1F5E3,🗣,:speaking-head:
278,U+1F464,👤,:bust-in-silhouette:
279,U+1F465,👥,:busts-in-silhouette:
280,U+1F93A,🤺,:person-fencing:
281,U+1F3C7,🏇,:horse-racing:
282,U+26F7,⛷,:skier:
283,U+1F3C2,🏂,:snowboarder:
284,U+1F3CC,🏌,:person-golfing:
285,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,🏌️‍♂️,:man-golfing:
286,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,🏌️‍♀️,:woman-golfing:
287,U+1F3C4,🏄,:person-surfing:
288,U+1F3C4 U+200D U+2642 U+FE0F,🏄‍♂️,:man-surfing:
289,U+1F3C4 U+200D U+2640 U+FE0F,🏄‍♀️,:woman-surfing:
290,U+1F6A3,🚣,:person-rowing-boat:
291,U+1F6A3 U+200D U+2642 U+FE0F,🚣‍♂️,:man-rowing-boat:
292,U+1F6A3 U+200D U+2640 U+FE0F,🚣‍♀️,:woman-rowing-boat:
293,U+1F3CA,🏊,:person-swimming:
294,U+1F3CA U+200D U+2642 U+FE0F,🏊‍♂️,:man-swimming:
295,U+1F3CA U+200D U+2640 U+FE0F,🏊‍♀️,:woman-swimming:
296,U+26F9,⛹,:person-bouncing-ball:
297,U+26F9 U+FE0F U+200D U+2642 U+FE0F,⛹️‍♂️,:man-bouncing-ball:
298,U+26F9 U+FE0F U+200D U+2640 U+FE0F,⛹️‍♀️,:woman-bouncing-ball:
299,U+1F3CB,🏋,:person-lifting-weights:
300,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,🏋️‍♂️,:man-lifting-weights:
301,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,🏋️‍♀️,:woman-lifting-weights:
302,U+1F6B4,🚴,:person-biking:
303,U+1F6B4 U+200D U+2642 U+FE0F,🚴‍♂️,:man-biking:
304,U+1F6B4 U+200D U+2640 U+FE0F,🚴‍♀️,:woman-biking:
305,U+1F6B5,🚵,:person-mountain-biking:
306,U+1F6B5 U+200D U+2642 U+FE0F,🚵‍♂️,:man-mountain-biking:
307,U+1F6B5 U+200D U+2640 U+FE0F,🚵‍♀️,:woman-mountain-biking:
308,U+1F3CE,🏎,:racing-car:
309,U+1F3CD,🏍,:motorcycle:
310,U+1F938,🤸,:person-cartwheeling:
311,U+1F938 U+200D U+2642 U+FE0F,🤸‍♂️,:man-cartwheeling:
312,U+1F938 U+200D U+2640 U+FE0F,🤸‍♀️,:woman-cartwheeling:
313,U+1F93C,🤼,:people-wrestling:
314,U+1F93C U+200D U+2642 U+FE0F,🤼‍♂️,:men-wrestling:
315,U+1F93C U+200D U+2640 U+FE0F,🤼‍♀️,:women-wrestling:
316,U+1F93D,🤽,:person-playing-water-polo:
317,U+1F93D U+200D U+2642 U+FE0F,🤽‍♂️,:man-playing-water-polo:
318,U+1F93D U+200D U+2640 U+FE0F,🤽‍♀️,:woman-playing-water-polo:
319,U+1F93E,🤾,:person-playing-handball:
320,U+1F93E U+200D U+2642 U+FE0F,🤾‍♂️,:man-playing-handball:
321,U+1F93E U+200D U+2640 U+FE0F,🤾‍♀️,:woman-playing-handball:
322,U+1F939,🤹,:person-juggling:
323,U+1F939 U+200D U+2642 U+FE0F,🤹‍♂️,:man-juggling:
324,U+1F939 U+200D U+2640 U+FE0F,🤹‍♀️,:woman-juggling:
325,U+1F46B,👫,:man-and-woman-holding-hands:
326,U+1F46C,👬,:two-men-holding-hands:
327,U+1F46D,👭,:two-women-holding-hands:
328,U+1F48F,💏,:kiss:
329,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👩‍❤️‍💋‍👨,":kiss;-woman,-man:"
330,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,👨‍❤️‍💋‍👨,":kiss;-man,-man:"
331,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,👩‍❤️‍💋‍👩,":kiss;-woman,-woman:"
332,U+1F491,💑,:couple-with-heart:
333,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,👩‍❤️‍👨,":couple-with-heart;-woman,-man:"
334,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,👨‍❤️‍👨,":couple-with-heart;-man,-man:"
335,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,👩‍❤️‍👩,":couple-with-heart;-woman,-woman:"
336,U+1F46A,👪,:family:
337,U+1F468 U+200D U+1F469 U+200D U+1F466,👨‍👩‍👦,":family;-man,-woman,-boy:"
338,U+1F468 U+200D U+1F469 U+200D U+1F467,👨‍👩‍👧,":family;-man,-woman,-girl:"
339,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👨‍👩‍👧‍👦,":family;-man,-woman,-girl,-boy:"
340,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👨‍👩‍👦‍👦,":family;-man,-woman,-boy,-boy:"
341,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👨‍👩‍👧‍👧,":family;-man,-woman,-girl,-girl:"
