number,codepoint,utf,shortname
472,U+1F3A9,🎩,:top-hat:
473,U+1F393,🎓,:graduation-cap:
474,U+1F9E2,🧢,:billed-cap:
475,U+26D1,⛑,:rescue-worker’s-helmet:
476,U+1F4FF,📿,:prayer-beads:
477,U+1F484,💄,:lipstick:
478,U+1F48D,💍,:ring:
479,U+1F48E,💎,:gem-stone:
480,U+1F435,🐵,:monkey-face:
481,U+1F412,🐒,:monkey:
482,U+1F98D,🦍,:gorilla:
483,U+1F436,🐶,:dog-face:
484,U+1F415,🐕,:dog:
485,U+1F429,🐩,:poodle:
486,U+1F43A,🐺,:wolf-face:
487,U+1F98A,🦊,:fox-face:
488,U+1F99D,🦝,:raccoon:
489,U+1F431,🐱,:cat-face:
490,U+1F408,🐈,:cat:
491,U+1F981,🦁,:lion-face:
492,U+1F42F,🐯,:tiger-face:
493,U+1F405,🐅,:tiger:
494,U+1F406,🐆,:leopard:
495,U+1F434,🐴,:horse-face:
496,U+1F40E,🐎,:horse:
497,U+1F984,🦄,:unicorn-face:
498,U+1F993,🦓,:zebra:
499,U+1F98C,🦌,:deer:
500,U+1F42E,🐮,:cow-face:
501,U+1F402,🐂,:ox:
502,U+1F403,🐃,:water-buffalo:
503,U+1F404,🐄,:cow:
504,U+1F437,🐷,:pig-face:
505,U+1F416,🐖,:pig:
506,U+1F417,🐗,:boar:
507,U+1F43D,🐽,:pig-nose:
508,U+1F40F,🐏,:ram:
509,U+1F411,🐑,:ewe:
510,U+1F410,🐐,:goat:
511,U+1F42A,🐪,:camel:
512,U+1F42B,🐫,:two-hump-camel:
513,U+1F999,🦙,:llama:
514,U+1F992,🦒,:giraffe:
515,U+1F418,🐘,:elephant:
516,U+1F98F,🦏,:rhinoceros:
517,U+1F99B,🦛,:hippopotamus:
518,U+1F42D,🐭,:mouse-face:
519,U+1F401,🐁,:mouse:
520,U+1F400,🐀,:rat:
521,U+1F439,🐹,:hamster-face:
522,U+1F430,🐰,:rabbit-face:
523,U+1F407,🐇,:rabbit:
524,U+1F43F,🐿,:chipmunk:
525,U+1F994,🦔,:hedgehog:
526,U+1F987,🦇,:bat:
527,U+1F43B,🐻,:bear-face:
528,U+1F428,🐨,:koala:
529,U+1F43C,🐼,:panda-face:
530,U+1F998,🦘,:kangaroo:
531,U+1F9A1,🦡,:badger:
532,U+1F43E,🐾,:paw-prints:
533,U+1F983,🦃,:turkey:
534,U+1F414,🐔,:chicken:
535,U+1F413,🐓,:rooster:
536,U+1F423,🐣,:hatching-chick:
537,U+1F424,🐤,:baby-chick:
538,U+1F425,🐥,:front-facing-baby-chick:
539,U+1F426,🐦,:bird:
540,U+1F427,🐧,:penguin:
541,U+1F54A,🕊,:dove:
542,U+1F985,🦅,:eagle:
543,U+1F986,🦆,:duck:
544,U+1F9A2,🦢,:swan:
545,U+1F989,🦉,:owl:
546,U+1F99A,🦚,:peacock:
547,U+1F99C,🦜,:parrot:
548,U+1F438,🐸,:frog-face:
549,U+1F40A,🐊,:crocodile:
550,U+1F422,🐢,:turtle:
551,U+1F98E,🦎,:lizard:
552,U+1F40D,🐍,:snake:
553,U+1F432,🐲,:dragon-face:
554,U+1F409,🐉,:dragon:
555,U+1F995,🦕,:sauropod:
556,U+1F996,🦖,:T-Rex:
557,U+1F433,🐳,:spouting-whale:
558,U+1F40B,🐋,:whale:
559,U+1F42C,🐬,:dolphin:
560,U+1F41F,🐟,:fish:
561,U+1F420,🐠,:tropical-fish:
562,U+1F421,🐡,:blowfish:
563,U+1F988,🦈,:shark:
564,U+1F419,🐙,:octopus:
565,U+1F41A,🐚,:spiral-shell:
566,U+1F980,🦀,:crab:
567,U+1F99E,🦞,:lobster:
568,U+1F990,🦐,:shrimp:
569,U+1F991,🦑,:squid:
570,U+1F40C,🐌,:snail:
571,U+1F98B,🦋,:butterfly:
572,U+1F41B,🐛,:bug:
573,U+1F41C,🐜,:ant:
574,U+1F41D,🐝,:honeybee:
575,U+1F41E,🐞,:lady-beetle:
576,U+1F997,🦗,:cricket:
577,U+1F577,🕷,:spider:
578,U+1F578,🕸,:spider-web:
579,U+1F982,🦂,:scorpion:
580,U+1F99F,🦟,:mosquito:
581,U+1F9A0,🦠,:microbe:
582,U+1F490,💐,:bouquet:
583,U+1F338,🌸,:cherry-blossom:
584,U+1F4AE,💮,:white-flower:
585,U+1F3F5,🏵,:rosette:
586,U+1F339,🌹,:rose:
587,U+1F940,🥀,:wilted-flower:
588,U+1F33A,🌺,:hibiscus:
589,U+1F33B,🌻,:sunflower:
590,U+1F33C,🌼,:blossom:
591,U+1F337,🌷,:tulip:
592,U+1F331,🌱,:seedling:
593,U+1F332,🌲,:evergreen-tree:
594,U+1F333,🌳,:deciduous-tree:
595,U+1F334,🌴,:palm-tree:
596,U+1F335,🌵,:cactus:
597,U+1F33E,🌾,:sheaf-of-rice:
598,U+1F33F,🌿,:herb:
599,U+2618,☘,:shamrock:
600,U+1F340,🍀,:four-leaf-clover:
601,U+1F341,🍁,:maple-leaf:
602,U+1F342,🍂,:fallen-leaf:
603,U+1F343,🍃,:leaf-fluttering-in-wind:
604,U+1F347,🍇,:grapes:
605,U+1F348,🍈,:melon:
606,U+1F349,🍉,:watermelon:
607,U+1F34A,🍊,:tangerine:
608,U+1F34B,🍋,:lemon:
609,U+1F34C,🍌,:banana:
610,U+1F34D,🍍,:pineapple:
611,U+1F96D,🥭,:mango:
612,U+1F34E,🍎,:red-apple:
613,U+1F34F,🍏,:green-apple:
614,U+1F350,🍐,:pear:
615,U+1F351,🍑,:peach:
616,U+1F352,🍒,:cherries:
617,U+1F353,🍓,:strawberry:
618,U+1F95D,🥝,:kiwi-fruit:
619,U+1F345,🍅,:tomato:
620,U+1F965,🥥,:coconut:
621,U+1F951,🥑,:avocado:
622,U+1F346,🍆,:eggplant:
623,U+1F954,🥔,:potato:
624,U+1F955,🥕,:carrot:
625,U+1F33D,🌽,:ear-of-corn:
626,U+1F336,🌶,:hot-pepper:
627,U+1F952,🥒,:cucumber:
628,U+1F96C,🥬,:leafy-green:
629,U+1F966,🥦,:broccoli:
630,U+1F344,🍄,:mushroom:
631,U+1F95C,🥜,:peanuts:
632,U+1F330,🌰,:chestnut:
633,U+1F35E,🍞,:bread:
634,U+1F950,🥐,:croissant:
635,U+1F956,🥖,:baguette-bread:
636,U+1F968,🥨,:pretzel:
637,U+1F96F,🥯,:bagel:
638,U+1F95E,🥞,:pancakes:
639,U+1F9C0,🧀,:cheese-wedge:
640,U+1F356,🍖,:meat-on-bone:
641,U+1F357,🍗,:poultry-leg:
642,U+1F969,🥩,:cut-of-meat:
643,U+1F953,🥓,:bacon:
644,U+1F354,🍔,:hamburger:
645,U+1F35F,🍟,:french-fries:
646,U+1F355,🍕,:pizza:
647,U+1F32D,🌭,:hot-dog:
648,U+1F96A,🥪,:sandwich:
649,U+1F32E,🌮,:taco:
650,U+1F32F,🌯,:burrito:
651,U+1F959,🥙,:stuffed-flatbread:
652,U+1F95A,🥚,:egg:
653,U+1F373,🍳,:cooking:
654,U+1F958,🥘,:shallow-pan-of-food:
655,U+1F372,🍲,:pot-of-food:
656,U+1F963,🥣,:bowl-with-spoon:
657,U+1F957,🥗,:green-salad:
658,U+1F37F,🍿,:popcorn:
659,U+1F9C2,🧂,:salt:
660,U+1F96B,🥫,:canned-food:
661,U+1F371,🍱,:bento-box:
662,U+1F358,🍘,:rice-cracker:
663,U+1F359,🍙,:rice-ball:
664,U+1F35A,🍚,:cooked-rice:
665,U+1F35B,🍛,:curry-rice:
666,U+1F35C,🍜,:steaming-bowl:
667,U+1F35D,🍝,:spaghetti:
668,U+1F360,🍠,:roasted-sweet-potato:
669,U+1F362,🍢,:oden:
670,U+1F363,🍣,:sushi:
671,U+1F364,🍤,:fried-shrimp:
672,U+1F365,🍥,:fish-cake-with-swirl:
673,U+1F96E,🥮,:moon-cake:
674,U+1F361,🍡,:dango:
675,U+1F95F,🥟,:dumpling:
676,U+1F960,🥠,:fortune-cookie:
677,U+1F961,🥡,:takeout-box:
678,U+1F366,🍦,:soft-ice-cream:
679,U+1F367,🍧,:shaved-ice:
680,U+1F368,🍨,:ice-cream:
681,U+1F369,🍩,:doughnut:
682,U+1F36A,🍪,:cookie:
683,U+1F382,🎂,:birthday-cake:
684,U+1F370,🍰,:shortcake:
685,U+1F9C1,🧁,:cupcake:
686,U+1F967,🥧,:pie:
687,U+1F36B,🍫,:chocolate-bar:
688,U+1F36C,🍬,:candy:
689,U+1F36D,🍭,:lollipop:
690,U+1F36E,🍮,:custard:
691,U+1F36F,🍯,:honey-pot:
692,U+1F37C,🍼,:baby-bottle:
693,U+1F95B,🥛,:glass-of-milk:
694,U+2615,☕,:hot-beverage:
695,U+1F375,🍵,:teacup-without-handle:
696,U+1F376,🍶,:sake:
697,U+1F37E,🍾,:bottle-with-popping-cork:
698,U+1F377,🍷,:wine-glass:
699,U+1F378,🍸,:cocktail-glass:
700,U+1F379,🍹,:tropical-drink:
701,U+1F37A,🍺,:beer-mug:
702,U+1F37B,🍻,:clinking-beer-mugs:
703,U+1F942,🥂,:clinking-glasses:
704,U+1F943,🥃,:tumbler-glass:
705,U+1F964,🥤,:cup-with-straw:
706,U+1F962,🥢,:chopsticks:
707,U+1F37D,🍽,:fork-and-knife-with-plate:
708,U+1F374,🍴,:fork-and-knife:
709,U+1F944,🥄,:spoon:
710,U+1F52A,🔪,:kitchen-knife:
711,U+1F3FA,🏺,:amphora:
712,U+1F30D,🌍,:globe-showing-Europe-Africa:
713,U+1F30E,🌎,:globe-showing-Americas:
714,U+1F30F,🌏,:globe-showing-Asia-Australia:
715,U+1F310,🌐,:globe-with-meridians:
716,U+1F5FA,🗺,:world-map:
717,U+1F5FE,🗾,:map-of-Japan:
718,U+1F9ED,🧭,:compass:
719,U+1F3D4,🏔,:snow-capped-mountain:
720,U+26F0,⛰,:mountain:
721,U+1F30B,🌋,:volcano:
722,U+1F5FB,🗻,:mount-fuji:
723,U+1F3D5,🏕,:camping:
724,U+1F3D6,🏖,:beach-with-umbrella:
725,U+1F3DC,🏜,:desert:
726,U+1F3DD,🏝,:desert-island:
727,U+1F3DE,🏞,:national-park:
728,U+1F3DF,🏟,:stadium:
729,U+1F3DB,🏛,:classical-building:
730,U+1F3D7,🏗,:building-construction:
731,U+1F9F1,🧱,:brick:
732,U+1F3D8,🏘,:houses:
733,U+1F3DA,🏚,:derelict-house:
734,U+1F3E0,🏠,:house:
735,U+1F3E1,🏡,:house-with-garden:
736,U+1F3E2,🏢,:office-building:
737,U+1F3E3,🏣,:Japanese-post-office:
738,U+1F3E4,🏤,:post-office:
739,U+1F3E5,🏥,:hospital:
740,U+1F3E6,🏦,:bank:
741,U+1F3E8,🏨,:hotel:
742,U+1F3E9,🏩,:love-hotel:
743,U+1F3EA,🏪,:convenience-store:
744,U+1F3EB,🏫,:school:
745,U+1F3EC,🏬,:department-store:
746,U+1F3ED,🏭,:factory:
747,U+1F3EF,🏯,:Japanese-castle:
748,U+1F3F0,🏰,:castle:
749,U+1F492,💒,:wedding:
750,U+1F5FC,🗼,:Tokyo-tower:
751,U+1F5FD,🗽,:Statue-of-Liberty:
752,U+26EA,⛪,:church:
753,U+1F54C,🕌,:mosque:
754,U+1F54D,🕍,:synagogue:
755,U+26E9,⛩,:shinto-shrine:
756,U+1F54B,🕋,:kaaba:
757,U+26F2,⛲,:fountain:
758,U+26FA,⛺,:tent:
759,U+1F301,🌁,:foggy:
760,U+1F303,🌃,:night-with-stars:
761,U+1F3D9,🏙,:cityscape:
762,U+1F304,🌄,:sunrise-over-mountains:
763,U+1F305,🌅,:sunrise:
764,U+1F306,🌆,:cityscape-at-dusk:
765,U+1F307,🌇,:sunset:
766,U+1F309,🌉,:bridge-at-night:
767,U+2668,♨,:hot-springs:
768,U+1F30C,🌌,:milky-way:
769,U+1F3A0,🎠,:carousel-horse:
770,U+1F3A1,🎡,:ferris-wheel:
771,U+1F3A2,🎢,:roller-coaster:
772,U+1F488,💈,:barber-pole:
773,U+1F3AA,🎪,:circus-tent:
774,U+1F682,🚂,:locomotive:
775,U+1F683,🚃,:railway-car:
776,U+1F684,🚄,:high-speed-train:
777,U+1F685,🚅,:bullet-train:
778,U+1F686,🚆,:train:
779,U+1F687,🚇,:metro:
780,U+1F688,🚈,:light-rail:
781,U+1F689,🚉,:station:
782,U+1F68A,🚊,:tram:
783,U+1F69D,🚝,:monorail:
784,U+1F69E,🚞,:mountain-railway:
785,U+1F68B,🚋,:tram-car:
786,U+1F68C,🚌,:bus:
787,U+1F68D,🚍,:oncoming-bus:
788,U+1F68E,🚎,:trolleybus:
789,U+1F690,🚐,:minibus:
790,U+1F691,🚑,:ambulance:
791,U+1F692,🚒,:fire-engine:
792,U+1F693,🚓,:police-car:
793,U+1F694,🚔,:oncoming-police-car:
794,U+1F695,🚕,:taxi:
795,U+1F696,🚖,:oncoming-taxi:
796,U+1F697,🚗,:automobile:
797,U+1F698,🚘,:oncoming-automobile:
798,U+1F699,🚙,:sport-utility-vehicle:
799,U+1F69A,🚚,:delivery-truck:
800,U+1F69B,🚛,:articulated-lorry:
801,U+1F69C,🚜,:tractor:
802,U+1F6B2,🚲,:bicycle:
803,U+1F6F4,🛴,:kick-scooter:
804,U+1F6F9,🛹,:skateboard:
805,U+1F6F5,🛵,:motor-scooter:
806,U+1F68F,🚏,:bus-stop:
807,U+1F6E3,🛣,:motorway:
808,U+1F6E4,🛤,:railway-track:
809,U+1F6E2,🛢,:oil-drum:
810,U+26FD,⛽,:fuel-pump:
811,U+1F6A8,🚨,:police-car-light:
812,U+1F6A5,🚥,:horizontal-traffic-light:
813,U+1F6A6,🚦,:vertical-traffic-light:
814,U+1F6D1,🛑,:stop-sign:
815,U+1F6A7,🚧,:construction:
816,U+2693,⚓,:anchor:
817,U+26F5,⛵,:sailboat:
818,U+1F6F6,🛶,:canoe:
819,U+1F6A4,🚤,:speedboat:
820,U+1F6F3,🛳,:passenger-ship:
821,U+26F4,⛴,:ferry:
822,U+1F6E5,🛥,:motor-boat:
823,U+1F6A2,🚢,:ship:
824,U+2708,✈,:airplane:
825,U+1F6E9,🛩,:small-airplane:
826,U+1F6EB,🛫,:airplane-departure:
827,U+1F6EC,🛬,:airplane-arrival:
828,U+1F4BA,💺,:seat:
829,U+1F681,🚁,:helicopter:
830,U+1F69F,🚟,:suspension-railway:
831,U+1F6A0,🚠,:mountain-cableway:
832,U+1F6A1,🚡,:aerial-tramway:
833,U+1F6F0,🛰,:satellite:
834,U+1F680,🚀,:rocket:
835,U+1F6F8,🛸,:flying-saucer:
836,U+1F6CE,🛎,:bellhop-bell:
837,U+1F9F3,🧳,:luggage:
838,U+231B,⌛,:hourglass-done:
839,U+23F3,⏳,:hourglass-not-done:
840,U+231A,⌚,:watch:
841,U+23F0,⏰,:alarm-clock:
842,U+23F1,⏱,:stopwatch:
843,U+23F2,⏲,:timer-clock:
844,U+1F570,🕰,:mantelpiece-clock:
845,U+1F55B,🕛,:twelve-o’clock:
846,U+1F567,🕧,:twelve-thirty:
847,U+1F550,🕐,:one-o’clock:
848,U+1F55C,🕜,:one-thirty:
849,U+1F551,🕑,:two-o’clock:
850,U+1F55D,🕝,:two-thirty:
851,U+1F552,🕒,:three-o’clock:
852,U+1F55E,🕞,:three-thirty:
853,U+1F553,🕓,:four-o’clock:
854,U+1F55F,🕟,:four-thirty:
855,U+1F554,🕔,:five-o’clock:
856,U+1F560,🕠,:five-thirty:
857,U+1F555,🕕,:six-o’clock:
858,U+1F561,🕡,:six-thirty:
859,U+1F556,🕖,:seven-o’clock:
860,U+1F562,🕢,:seven-thirty:
861,U+1F557,🕗,:eight-o’clock:
862,U+1F563,🕣,:eight-thirty:
863,U+1F558,🕘,:nine-o’clock:
864,U+1F564,🕤,:nine-thirty:
865,U+1F559,🕙,:ten-o’clock:
866,U+1F565,🕥,:ten-thirty:
867,U+1F55A,🕚,:eleven-o’clock:
868,U+1F566,🕦,:eleven-thirty:
869,U+1F311,🌑,:new-moon:
870,U+1F312,🌒,:waxing-crescent-moon:
871,U+1F313,🌓,:first-quarter-moon:
872,U+1F314,🌔,:waxing-gibbous-moon:
873,U+1F315,🌕,:full-moon:
874,U+1F316,🌖,:waning-gibbous-moon:
875,U+1F317,🌗,:last-quarter-moon:
876,U+1F318,🌘,:waning-crescent-moon:
877,U+1F319,🌙,:crescent-moon:
878,U+1F31A,🌚,:new-moon-face:
879,U+1F31B,🌛,:first-quarter-moon-face:
880,U+1F31C,🌜,:last-quarter-moon-face:
881,U+1F321,🌡,:thermometer:
882,U+2600,☀,:sun:
883,U+1F31D,🌝,:full-moon-face:
884,U+1F31E,🌞,:sun-with-face:
885,U+2B50,⭐,:star:
886,U+1F31F,🌟,:glowing-star:
887,U+1F320,🌠,:shooting-star:
888,U+2601,☁,:cloud:
889,U+26C5,⛅,:sun-behind-cloud:
890,U+26C8,⛈,:cloud-with-lightning-and-rain:
891,U+1F324,🌤,:sun-behind-small-cloud:
892,U+1F325,🌥,:sun-behind-large-cloud:
893,U+1F326,🌦,:sun-behind-rain-cloud:
894,U+1F327,🌧,:cloud-with-rain:
895,U+1F328,🌨,:cloud-with-snow:
896,U+1F329,🌩,:cloud-with-lightning:
897,U+1F32A,🌪,:tornado:
898,U+1F32B,🌫,:fog:
899,U+1F32C,🌬,:wind-face:
900,U+1F300,🌀,:cyclone:
901,U+1F308,🌈,:rainbow:
902,U+1F302,🌂,:closed-umbrella:
903,U+2602,☂,:umbrella:
904,U+2614,☔,:umbrella-with-rain-drops:
905,U+26F1,⛱,:umbrella-on-ground:
906,U+26A1,⚡,:high-voltage:
907,U+2744,❄,:snowflake:
908,U+2603,☃,:snowman:
909,U+26C4,⛄,:snowman-without-snow:
910,U+2604,☄,:comet:
911,U+1F525,🔥,:fire:
912,U+1F4A7,💧,:droplet:
913,U+1F30A,🌊,:water-wave:
914,U+1F383,🎃,:jack-o-lantern:
915,U+1F384,🎄,:Christmas-tree:
916,U+1F386,🎆,:fireworks:
917,U+1F387,🎇,:sparkler:
918,U+1F9E8,🧨,:firecracker:
919,U+2728,✨,:sparkles:
920,U+1F388,🎈,:balloon:
921,U+1F389,🎉,:party-popper:
922,U+1F38A,🎊,:confetti-ball:
923,U+1F38B,🎋,:tanabata-tree:
924,U+1F38D,🎍,:pine-decoration:
925,U+1F38E,🎎,:Japanese-dolls:
926,U+1F38F,🎏,:carp-streamer:
927,U+1F390,🎐,:wind-chime:
928,U+1F391,🎑,:moon-viewing-ceremony:
929,U+1F9E7,🧧,:red-envelope:
930,U+1F380,🎀,:ribbon:
931,U+1F381,🎁,:wrapped-gift:
932,U+1F397,🎗,:reminder-ribbon:
933,U+1F39F,🎟,:admission-tickets:
934,U+1F3AB,🎫,:ticket:
935,U+1F396,🎖,:military-medal:
936,U+1F3C6,🏆,:trophy:
937,U+1F3C5,🏅,:sports-medal:
938,U+1F947,🥇,:1st-place-medal:
939,U+1F948,🥈,:2nd-place-medal:
940,U+1F949,🥉,:3rd-place-medal:
941,U+26BD,⚽,:soccer-ball:
942,U+26BE,⚾,:baseball:
943,U+1F94E,🥎,:softball:
944,U+1F3C0,🏀,:basketball:
945,U+1F3D0,🏐,:volleyball:
946,U+1F3C8,🏈,:american-football:
947,U+1F3C9,🏉,:rugby-football:
948,U+1F3BE,🎾,:tennis:
949,U+1F94F,🥏,:flying-disc:
950,U+1F3B3,🎳,:bowling:
951,U+1F3CF,🏏,:cricket-game:
952,U+1F3D1,🏑,:field-hockey:
953,U+1F3D2,🏒,:ice-hockey:
954,U+1F94D,🥍,:lacrosse:
955,U+1F3D3,🏓,:ping-pong:
956,U+1F3F8,🏸,:badminton:
957,U+1F94A,🥊,:boxing-glove:
958,U+1F94B,🥋,:martial-arts-uniform:
959,U+1F945,🥅,:goal-net:
960,U+26F3,⛳,:flag-in-hole:
961,U+26F8,⛸,:ice-skate:
962,U+1F3A3,🎣,:fishing-pole:
963,U+1F3BD,🎽,:running-shirt:
964,U+1F3BF,🎿,:skis:
965,U+1F6F7,🛷,:sled:
966,U+1F94C,🥌,:curling-stone:
967,U+1F3AF,🎯,:direct-hit:
968,U+1F3B1,🎱,:pool-8-ball:
969,U+1F52E,🔮,:crystal-ball:
970,U+1F9FF,🧿,:nazar-amulet:
971,U+1F3AE,🎮,:video-game:
972,U+1F579,🕹,:joystick:
973,U+1F3B0,🎰,:slot-machine:
974,U+1F3B2,🎲,:game-die:
975,U+1F9E9,🧩,:jigsaw:
976,U+1F9F8,🧸,:teddy-bear:
977,U+2660,♠️,:spade-suit:
978,U+2665,♥️,:heart-suit:
979,U+2666,♦️,:diamond-suit:
980,U+2663,♣️,:club-suit:
981,U+265F,♟,:chess-pawn:
982,U+1F0CF,🃏,:joker:
983,U+1F004,🀄,:mahjong-red-dragon:
984,U+1F3B4,🎴,:flower-playing-cards:
985,U+1F3AD,🎭,:performing-arts:
986,U+1F5BC,🖼,:framed-picture:
987,U+1F3A8,🎨,:artist-palette:
988,U+1F9F5,🧵,:thread:
989,U+1F9F6,🧶,:yarn:
990,U+1F507,🔇,:muted-speaker:
991,U+1F508,🔈,:speaker-low-volume:
992,U+1F509,🔉,:speaker-medium-volume:
993,U+1F50A,🔊,:speaker-high-volume:
994,U+1F4E2,📢,:loudspeaker:
995,U+1F4E3,📣,:megaphone:
996,U+1F4EF,📯,:postal-horn:
997,U+1F514,🔔,:bell:
998,U+1F515,🔕,:bell-with-slash:
999,U+1F3BC,🎼,:musical-score:
1000,U+1F3B5,🎵,:musical-note:
1001,U+1F3B6,🎶,:musical-notes:
1002,U+1F399,🎙,:studio-microphone:
1003,U+1F39A,🎚,:level-slider:
1004,U+1F39B,🎛,:control-knobs:
1005,U+1F3A4,🎤,:microphone:
1006,U+1F3A7,🎧,:headphone:
1007,U+1F4FB,📻,:radio:
1008,U+1F3B7,🎷,:saxophone:
1009,U+1F3B8,🎸,:guitar:
1010,U+1F3B9,🎹,:musical-keyboard:
1011,U+1F3BA,🎺,:trumpet:
1012,U+1F3BB,🎻,:violin:
1013,U+1F941,🥁,:drum:
1014,U+1F4F1,📱,:mobile-phone:
1015,U+1F4F2,📲,:mobile-phone-with-arrow:
1016,U+260E,☎,:telephone:
1017,U+1F4DE,📞,:telephone-receiver:
1018,U+1F4DF,📟,:pager:
1019,U+1F4E0,📠,:fax-machine:
1020,U+1F50B,🔋,:battery:
1021,U+1F50C,🔌,:electric-plug:
1022,U+1F4BB,💻,:laptop-computer:
1023,U+1F5A5,🖥,:desktop-computer:
1024,U+1F5A8,🖨,:printer:
1025,U+2328,⌨,:keyboard:
1026,U+1F5B1,🖱,:computer-mouse:
1027,U+1F5B2,🖲,:trackball:
1028,U+1F4BD,💽,:computer-disk:
1029,U+1F4BE,💾,:floppy-disk:
1030,U+1F4BF,💿,:optical-disk:
1031,U+1F4C0,📀,:dvd:
1032,U+1F9EE,🧮,:abacus:
1033,U+1F3A5,🎥,:movie-camera:
1034,U+1F39E,🎞,:film-frames:
1035,U+1F4FD,📽,:film-projector:
1036,U+1F3AC,🎬,:clapper-board:
1037,U+1F4FA,📺,:television:
1038,U+1F4F7,📷,:camera:
1039,U+1F4F8,📸,:camera-with-flash:
1040,U+1F4F9,📹,:video-camera:
1041,U+1F4FC,📼,:videocassette:
1042,U+1F50D,🔍,:magnifying-glass-tilted-left:
1043,U+1F50E,🔎,:magnifying-glass-tilted-right:
1044,U+1F56F,🕯,:candle:
1045,U+1F4A1,💡,:light-bulb:
1046,U+1F526,🔦,:flashlight:
1047,U+1F3EE,🏮,:red-paper-lantern:
1048,U+1F4D4,📔,:notebook-with-decorative-cover:
1049,U+1F4D5,📕,:closed-book:
1050,U+1F4D6,📖,:open-book:
1051,U+1F4D7,📗,:green-book:
1052,U+1F4D8,📘,:blue-book:
1053,U+1F4D9,📙,:orange-book:
1054,U+1F4DA,📚,:books:
1055,U+1F4D3,📓,:notebook:
1056,U+1F4D2,📒,:ledger:
1057,U+1F4C3,📃,:page-with-curl:
1058,U+1F4DC,📜,:scroll:
1059,U+1F4C4,📄,:page-facing-up:
1060,U+1F4F0,📰,:newspaper:
1061,U+1F5DE,🗞,:rolled-up-newspaper:
1062,U+1F4D1,📑,:bookmark-tabs:
1063,U+1F516,🔖,:bookmark:
1064,U+1F3F7,🏷,:label:
1065,U+1F4B0,💰,:money-bag:
1066,U+1F4B4,💴,:yen-banknote:
1067,U+1F4B5,💵,:dollar-banknote:
1068,U+1F4B6,💶,:euro-banknote:
1069,U+1F4B7,💷,:pound-banknote:
1070,U+1F4B8,💸,:money-with-wings:
1071,U+1F4B3,💳,:credit-card:
1072,U+1F9FE,🧾,:receipt:
1073,U+1F4B9,💹,:chart-increasing-with-yen:
1074,U+1F4B1,💱,:currency-exchange:
1075,U+1F4B2,💲,:heavy-dollar-sign:
1076,U+2709,✉,:envelope:
1077,U+1F4E7,📧,:e-mail:
1078,U+1F4E8,📨,:incoming-envelope:
1079,U+1F4E9,📩,:envelope-with-arrow:
1080,U+1F4E4,📤,:outbox-tray:
1081,U+1F4E5,📥,:inbox-tray:
1082,U+1F4E6,📦,:package:
1083,U+1F4EB,📫,:closed-mailbox-with-raised-flag:
1084,U+1F4EA,📪,:closed-mailbox-with-lowered-flag:
1085,U+1F4EC,📬,:open-mailbox-with-raised-flag:
1086,U+1F4ED,📭,:open-mailbox-with-lowered-flag:
1087,U+1F4EE,📮,:postbox:
1088,U+1F5F3,🗳,:ballot-box-with-ballot:
1089,U+270F,✏,:pencil:
1090,U+2712,✒,:black-nib:
1091,U+1F58B,🖋,:fountain-pen:
1092,U+1F58A,🖊,:pen:
1093,U+1F58C,🖌,:paintbrush:
1094,U+1F58D,🖍,:crayon:
1095,U+1F4DD,📝,:memo:
1096,U+1F4BC,💼,:briefcase:
1097,U+1F4C1,📁,:file-folder:
1098,U+1F4C2,📂,:open-file-folder:
1099,U+1F5C2,🗂,:card-index-dividers:
1100,U+1F4C5,📅,:calendar:
1101,U+1F4C6,📆,:tear-off-calendar:
1102,U+1F5D2,🗒,:spiral-notepad:
1103,U+1F5D3,🗓,:spiral-calendar:
1104,U+1F4C7,📇,:card-index:
1105,U+1F4C8,📈,:chart-increasing:
1106,U+1F4C9,📉,:chart-decreasing:
1107,U+1F4CA,📊,:bar-chart:
1108,U+1F4CB,📋,:clipboard:
1109,U+1F4CC,📌,:pushpin:
1110,U+1F4CD,📍,:round-pushpin:
1111,U+1F4CE,📎,:paperclip:
1112,U+1F587,🖇,:linked-paperclips:
1113,U+1F4CF,📏,:straight-ruler:
1114,U+1F4D0,📐,:triangular-ruler:
1115,U+2702,✂,:scissors:
1116,U+1F5C3,🗃,:card-file-box:
1117,U+1F5C4,🗄,:file-cabinet:
1118,U+1F5D1,🗑,:wastebasket:
1119,U+1F512,🔒,:locked:
1120,U+1F513,🔓,:unlocked:
1121,U+1F50F,🔏,:locked-with-pen:
1122,U+1F510,🔐,:locked-with-key:
1123,U+1F511,🔑,:key:
1124,U+1F5DD,🗝,:old-key:
1125,U+1F528,🔨,:hammer:
1126,U+26CF,⛏,:pick:
1127,U+2692,⚒,:hammer-and-pick:
1128,U+1F6E0,🛠,:hammer-and-wrench:
1129,U+1F5E1,🗡,:dagger:
1130,U+2694,⚔,:crossed-swords:
1131,U+1F52B,🔫,:pistol:
1132,U+1F3F9,🏹,:bow-and-arrow:
1133,U+1F6E1,🛡,:shield:
1134,U+1F527,🔧,:wrench:
1135,U+1F529,🔩,:nut-and-bolt:
1136,U+2699,⚙,:gear:
1137,U+1F5DC,🗜,:clamp:
1138,U+2696,⚖,:balance-scale:
1139,U+1F517,🔗,:link:
1140,U+26D3,⛓,:chains:
1141,U+1F9F0,🧰,:toolbox:
1142,U+1F9F2,🧲,:magnet:
